index zipcode lat long number
0 95367 37.731272 -120.94365 4
1 95320 37.797806 -121.00179 4
2 94111 37.798228 -122.40027 6123
3 94109 37.792778 -122.42188 8636
4 94619 37.790027 -122.18615 80
5 94605 37.763028 -122.16305 112
6 95376 37.728417 -121.42399 24
7 94117 37.770937 -122.44276 5897
8 94130 37.819423 -122.36966 448
9 94131 37.741797 -122.4378 2965
10 94132 37.724231 -122.47958 2147
11 94133 37.801878 -122.41018 5843
12 94134 37.719581 -122.41085 2328
13 94608 37.834724 -122.28316 261
14 95377 37.72374 -121.447131 27
15 94546 37.702063 -122.07934 82
16 95356 37.704138 -121.02187 13
17 95321 37.840248 -120.04541 5
18 94615 37.806677 -122.30038 1
19 94614 37.727739 -122.204573 2
20 94617 37.807827 -122.271652 2
21 94528 37.838744 -121.96672 2
22 94611 37.827126 -122.22289 161
23 94610 37.812377 -122.24199 157
24 94819 37.777208 -121.955399 1
25 94612 37.809427 -122.27172 201
26 94112 37.720931 -122.44241 5379
27 94113 37.720931 -122.44241 5
28 94110 37.74873 -122.41545 11195
29 94506 37.804064 -121.91202 23
30 94501 37.769528 -122.25937 265
31 94618 37.843726 -122.24369 62
32 94114 37.758434 -122.43512 5837
33 94502 37.734379 -122.23952 46
34 94103 37.772329 -122.41087 9724
35 94883 37.777208 -121.955399 1
36 94526 37.811676 -121.98647 53
37 94583 37.75735 -121.95213 122
38 94853 37.777208 -121.955399 1
39 95330 37.816876 -121.28541 17
40 94808 37.777208 -121.955399 1
41 94621 37.753978 -122.18969 118
42 94607 37.806427 -122.28898 190
43 94127 37.734964 -122.4597 2332
44 95337 37.782332 -121.23578 12
45 94568 37.714179 -121.92567 88
46 94118 37.782029 -122.46158 6391
47 94102 37.779329 -122.41915 7094
48 94578 37.703427 -122.128 82
49 95305 37.824554 -120.25764 1
50 95361 37.776528 -120.84756 8
51 95366 37.742895 -121.12546 10
52 94122 37.75838 -122.48478 6237
53 94121 37.778729 -122.49265 4680
54 94115 37.786129 -122.43736 5538
55 95368 37.708727 -121.08928 3
56 94609 37.834926 -122.264 131
57 94826 37.777208 -121.955399 1
58 94129 37.79984 -122.46167 518
59 94577 37.722279 -122.15702 264
60 94606 37.793177 -122.24352 149
61 94108 37.792678 -122.40793 5133
62 94821 37.777208 -121.955399 1
63 94602 37.799727 -122.21211 123
64 94603 37.738379 -122.17332 64
65 94143 37.76313 -122.458582 24
66 94601 37.776835 -122.21792 153
67 94516 37.777208 -121.955399 1
68 95336 37.812815 -121.21416 31
69 94802 37.777208 -121.955399 2
70 94529 37.777208 -121.955399 1
71 94105 37.789228 -122.3957 5562
72 94104 37.791728 -122.4019 5006
73 94107 37.766529 -122.39577 8439
74 94807 37.777208 -121.955399 1
75 94597 37.777208 -121.955399 85
76 94124 37.732797 -122.39348 5390
77 94123 37.801028 -122.43836 5138
78 94522 37.777208 -121.955399 1
79 94866 37.777208 -121.955399 2
80 94556 37.839426 -122.12426 36
81 94514 37.847704 -121.60812 11
82 94116 37.743381 -122.48578 3576
